Name|Last Release|Code type|Keywords [Max 3]|Field|License|Programming Language|Institution(s)|Website|Related publications|Source code |Contacts|Description|Short description (≤300 chars, summarized)|Concept DOI (from zenodo)|Other DOIs|Software Logo (yes/no)|Image url
FRoG|2025 (latest release)|Application|Treatment Planning and dosimetry|Protons/Ions|Not explicitly stated|C++ (primary), Python (for some functionalities)|Heidelberg Ion-Beam Therapy Center (HIT), Centro Nazionale di Adroterapia Oncologica (CNAO), Danish Centre for Particle Therapy (DCPT), German Cancer Research Center (DKFZ)|Not explicitly stated, but implies project website or related academic pages.|KyungDon Choi et al. "FRoG-A New Calculation Engine for Clinical Investigations with Proton and Carbon Ion Beams at CNAO" (2018)|Not explicitly stated|FRoG.HIT@med.uni-heidelberg.de|FRoG (Fast dose Recalculation on GPU) is a high-accuracy, GPU-accelerated analytical dose-calculation engine for hadron therapy (H, He, C, O) that achieves accuracy comparable to Monte Carlo (MC) simulations, with dose-volume histogram values agreeing within ~1% for protons and ~2.5% for carbon ions. Developed for rapid, robust dose calculation in clinical settings, it often serves as an, independent fast dose calculation engine to support treatment planning systems.|Independent dose and LETd prediction tool for proton therapy, GPU-accelerated, sandbox environment, supports variable RBE models. Not for clinical use.|NA|Not explicitly stated for the software itself|No|
MonteRay|Not explicitly stated|Application|Treatment Planning and dosimetry|Protons/Ions|Not explicitly stated|C++ (primary)|Not explicitly stated, but developed in-house (implied academic/research institution). Heidelberg Ion Therapy Center.|Not explicitly stated, but related to research group websites.|https://doi.org/10.3389/fphy.2021.741453|Not explicitly stated|Not explicitly stated, but contacts for related medical physics programs are available.|MonteRay is a fast Monte Carlo (MC) dose calculation engine developed for proton, helium, and carbon ion beam therapy. It is designed to combine the high dosimetric accuracy of Monte Carlo simulations—widely regarded as the gold standard in radiotherapy—with computational performance compatible with research and near‑clinical workflows.|CPU MC dose calculation engine, capable of simulating therapeutic proton, helium, and carbon ion beams. Uses pre-computed nuclear event database.|NA|Not explicitly stated for the software itself, but publication DOI is https://doi.org/10.3389/fphy.2021.741453.|No|
FRED|2025|Application|Treatment Planning and dosimetry|Protons/Ions|https://www.fred-mc.org/Manual_3.76/Download/Licences.html|Python (uses CuPy for GPU acceleration)|University of Rome 'La Sapienza'|https://www.fred-mc.org/Manual_3.76/index.html|"GPU-accelerated FREDopt package for simultaneous dose and LETd proton radiotherapy plan optimization via superiorization methods" (2025).|Not explicitly stated|angelo.schiavi@uniroma1.it, jan.gajewski@ifj.edu.pl, ilaria.rinaldi@maastro.nl|FRED (Fast paRticle thErapy Dose evaluator) is a fast Monte-Carlo platform for particle transport in heterogeneous media. The main motivation is to allow a rapid recalculation of dose deposition in the context of Particle Therapy. FRED can transport protons, light ions, neutrons and other particles through voxelized regions. A complete treatment plan can be recalculated importing patient data (e.g. CT scans) and delivery plans (namely fields and pencil beams). FRED can run on CPU hardware exploiting multi-core parallelism as well as on single or multiple GPU cards using OpenCL.|GPU MC dose engine capable of simulating therapeutic protons, electrons and carbon ions.|NA|10.1088/1361-6560/ade841 (for the publication)|Yes|https://www.fred-mc.org/Manual_3.76/_static/FRED_logo.png
JulianA|2024|Library/Toolkit|Treatment Planning and dosimetry|Protons/Ions|	BSD-3-Clause|Julia (primary), can interface with Python and C code|Paul Scherrer Institut, ETH Zürich, University Hospital of Zurich (USZ), University Hospital of Bern (Inselspital), Université Laval|Not explicitly stated for a dedicated website, but code available on Zenodo.|Autoplanning algorithm published in previous work (not specified), validation study under peer-review, H&N planning study in progress.|https://github.com/renatobellotti/Juliana.jl|jan.hrbacek@psi.ch|https://raw.githubusercontent.com/renatobellotti/Juliana.jl/refs/heads/main/README.md|Accelerates proton radiotherapy research. Flexible, modular toolkit.|NA|10.5281/zenodo.10377184 (for the Zenodo mirror).|Yes|https://github.com/renatobellotti/Juliana.jl/raw/main/juliana_logo.svg
PRIMO|Not explicitly stated|Application|Treatment Planning and dosimetry|Photons||Not explicitly stated (uses PENELOPE and DPM, which are Fortran/C++ based)|Medizinische Fakultät of the Universität Duisburg-Essen, Hospital Paitilla, Universitat Politècnica de Catalunya.|www.primoproject.net|Multiple publications listed on its website including "PRIMO: A graphical environment for the Monte Carlo simulation of Varian and Elekta linacs" (2013).|Not explicitly stated (not open source)|Contact info in "about the authors" section (not provided in snippet). Specific emails: lorenzo.brualla@uni-duisburg-essen.de, milrocas@gmail.com, josep.sempau@upc.es. For PRIMO P&A Project Optimizer: primo@netl.doe.gov.|PRIMO performs full Monte Carlo simulation of radiation transport in the linac geometry and patient CT using either the general-purpose PENELOPE code or the fast Monte Carlo code DPM, all wrapped under an intuitive and hassle-free graphical user interface. PRIMO is free software.|Simulates clinical linear accelerators and estimates absorbed dose distributions. Combines GUI with PENELOPE and DPM Monte Carlo codes.|NA|Not explicitly stated for the software itself. Publication DOIs are provided. Zenodo records for other PRIMO projects exist, e.g., 10.5281/zenodo.4447293|Yes|https://primoproject.net/wp-content/uploads/2025/06/PRIMO-free-software.jpg
pyOrthanc|2025 (publication date)|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|	CC-BY-4.0|Python (primary), uses httpx library|Centre de recherche de l'Institut universitaire de cardiologie et de pneumologie de Québec-Université Laval, Département de physique, de génie physique et d'optique, Université Laval|https://github.com/gacou54/pyorthanc|"PyOrthanc: A Python Interface for Orthanc DICOM Servers" (2025).|https://github.com/gacou54/pyorthanc|Provides a comprehensive Python interface for interacting with Orthanc DICOM servers. Simplifies complex REST API interactions. Supports querying, anonymization, and DICOM services. Designed for efficient handling of large-scale DICOM operations.|https://raw.githubusercontent.com/gacou54/pyorthanc/refs/heads/main/README.md|PyOrthanc makes it easy to work with DICOM medical images stored on Orthanc servers using Python - instead of dealing with the DICOM protocol directly or creating complex code to interact with Orthanc's REST API.|NA|No|No|
Orthanc|Not explicitly stated|Application|Software Engineering and Data Infrastructure|Multiple purpose|	GPL-3.0-or-later|C++, HTML, JavaScript|CHU de Liège, Osimis company, Université Catholique de Louvain|www.orthanc-server.com|"Orthanc: A Lightweight, RESTful DICOM Server for Healthcare and Medical Research" (2016) and "Rendering Medical Images using WebAssembly" (2022).|hg.orthanc-server.com/orthanc|Not explicitly stated (community support via forums/issues implied)|# Orthanc in a nutshell\nOrthanc aims at providing a simple, yet powerful standalone DICOM server. It is designed to improve the DICOM flows in hospitals and to support research about the automated analysis of medical images. Orthanc lets its users focus on the content of the DICOM files, hiding the complexity of the DICOM format and of the DICOM protocol.\n\nOrthanc can turn any computer running Windows, Linux or OS X into a DICOM store (in other words, a mini-PACS system). Its architecture is lightweight and standalone, meaning that no complex database administration is required, nor the installation of third-party dependencies.\n\nWhat makes Orthanc unique is the fact that it provides a RESTful API. Thanks to this major feature, it is possible to drive Orthanc from any computer language. The DICOM tags of the stored medical images can be downloaded in the JSON file format. Furthermore, standard PNG images can be generated on-the-fly from the DICOM instances by Orthanc.\n\nOrthanc also features a plugin mechanism to add new modules that extends the core capabilities of its REST API. A Web viewer, a PostgreSQL database back-end, a MySQL database back-end, and a reference implementation of DICOMweb are currently freely available as plugins.|Orthanc is a Belgian, open-source, lightweight DICOM server for healthcare and medical research.|NA|Not explicitly stated for the software itself, but publication DOIs are provided.|Yes|https://www.orthanc-server.com/img/Carousel/1-Logo.png
Conquest DICOM|2020 (open source release on GitHub for v1.5.0)|Application|Software Engineering and Data Infrastructure|Multiple purpose|        GPL-2.0|C (70.4%), C++ (15.0%), Pascal (5.2%), Lua (4.9%), Rich Text Format (2.2%), Shell (0.8%), Other (1.5%)|University of Manchester|https://www.natura-ingenium.nl/dicom.html|https://github.com/marcelvanherk/Conquest-DICOM-Server|Not explicitly stated|Marcel van Herk University of Manchester|https://raw.githubusercontent.com/marcelvanherk/Conquest-DICOM-Server/refs/heads/master/readme.md|Complete DICOM server offering storage, verification, query and retrieve with programmable SQL database tables.|NA|No|Yes|https://www.natura-ingenium.nl/conquest.jpg
ClearCanvas|2015 (latest release)|Application|Software Engineering and Data Infrastructure|Multiple purpose|GPL-3.0|C# (86.3%), C (7.4%), Classic ASP (2.2%), JavaScript (1.8%), HTML (1.3%), C++ (0.7%)|Synaptive Medical (acquired IP and products in 2015). Originally developed for The Joint Department of Medical Imaging (JDMI), University Health Network, Mount Sinai Hospital, Women's College Hospital.|clearcanvas.github.io|"Commercial Open Source RIS/PACS: The ClearCanvas Experience" (2009). "Development and Reliability of a User-friendly Multicenter Phenotyping Application for Hemorrhagic and Ischemic Stroke" (2017).|https://github.com/ClearCanvas/ClearCanvas|No specific contact email provided, but suggests checking documentation or issues tracker. Contact form on clearcanvasevents.com.|https://raw.githubusercontent.com/ClearCanvas/ClearCanvas/refs/heads/master/README.md|Provides an extensible and robust platform for medical imaging. Software derived from the project is not intended nor licensed for clinical use.|NA|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|No|
Plastimatch|2025 (last commit)|Application|Imaging and Image Processing|Multiple purpose|Not standard|C++ (primary, inferred from "C++ toolkit" and source analysis), Python (for wrapper, PyPlastimatch)|Not explicitly mentioned, but acknowledgements include NIH/NCI, MGH, MIT, Politecnico di Milano, NSF.|https://plastimatch.gitlab.io/plastimatch. Also plastimatch.org.|"Plastimatch: An open source software suite for radiotherapy image processing" (2010). "plastimatch mabs, an open source software that can be used with any image modality for automatic segmentation".|https://gitlab.com/plastimatch/plastimatch|Google Groups forum: plastimatch@googlegroups.com. Email: gcsharp@partners.org.|https://gitlab.com/plastimatch/plastimatch/-/raw/master/README.md?ref_type=heads|Focuses on high-performance volumetric registration, segmentation, and image processing of volumetric medical images. Supports DICOM and DICOM-RT import/export.|NA|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes|https://plastimatch.org/_static/plastimatch-banner.png
